iati-identifier,hierarchy,last-updated-datetime,default-language,reporting-org,reporting-org-ref,reporting-org-type,title,description,activity-status-code,start-planned,end-planned,start-actual,end-actual,participating-org (Accountable),participating-org-ref (Accountable),participating-org-type (Accountable),participating-org (Funding),participating-org-ref (Funding),participating-org-type (Funding),participating-org (Extending),participating-org-ref (Extending),participating-org-type (Extending),participating-org (Implementing),participating-org-ref (Implementing),participating-org-type (Implementing),recipient-country-code,recipient-country,recipient-country-percentage,recipient-region-code,recipient-region,recipient-region-percentage,sector-code,sector,sector-percentage,sector-vocabulary,collaboration-type-code,default-finance-type-code,default-flow-type-code,default-aid-type-code,default-tied-status-code,default-currency,currency,total-Commitment,total-Disbursement,total-Expenditure,total-Incoming Funds,total-Interest Repayment,total-Loan Repayment,total-Reimbursement
#activity_id,,#report_date,,#source,#source_id,,#activity,,#status_id,#x_activity_start_date,,#x_activity_start_date,,,,,#funder,#funder_id,,#prog,#prog_id,,#impl,#impl_id,,#country_id,#country,#x_country_split,#region_id,#region,#x_region_split,#sector_id,#sector,#x_sector_split,,,,,,,#x_funds_currency,#x_funds_currency,#x_funds_committed,#x_funds_disbursed,#x_funds_spent,,,,
44000-P108069,1,01/07/2014 00:00,en,World Bank Group,44000,Multilateral,SL-Public Financial Management TAL (FY09,"The objective of the Integrated Public Financial Management Reform Project is to support Government of Sierra Leone in sustainably improving the credibility, control and transparency of fiscal and budget management. There are five components to the project. The first component of the project is strengthening macro-fiscal coordination and budget management, this component will include improved budget credibility associated with a more appropriately developed and managed aggregate fiscal position, delivery by the Ministry of Finance and Economic Development (MOFED) of predictable funding in accordance with budgets, constrained Ministries, Departments, and Agencies (MDAs) budgets and control of  the in year position contributing to objectives of platform one, and improved strategic planning and prioritization contributing to objectives of platform two. The second component of the project is reinforcing the control system for improved service delivery, this component include an updated legal framework, robust public procurement practices, tightened payroll controls, strengthened internal audit, improved accounting procedures operating in the MOFED and MDAs and further publication of Public Expenditure Tracking Survey (PETS) contributing to an effective control environment in MDAs. Striving for these internal controls will be reinforced through strengthened scrutiny of public finances by Parliament. The third component of the project is strengthening central finance functions, this component will undertake various cross-cutting activities including IFMIS rollout, all aspects of training and Human Resource (HR) capacity development that are required to support the main Public Financial Management (PFM) functions. The fourth component of the project is assisting non-state actor's oversight, this component will assist the development of the analytic and dissemination capacity of non-state actors in exercising scrutiny of the use of public resources, as well as building a constituency for reform of the PFM system across an array of non-state and government actors. The fifth component of the project is project management, under this component project administration unit will be established within the MOFED and will be staffed with a project manager who will also have monitoring and evaluation responsibilities for the Integrated Public Financial Management Reform Project (IPFMRP), a procurement specialist and a project accountant.",2,16/10/2008,31/07/2014,04/06/2009,31/07/2014,,,,International Development Association,44002,Multilateral,International Development Association,44002,Multilateral,MINISTRY OF FINANCE AND ECONOMIC DEVELOPMENT,,,SL,Sierra Leone,100,,,,;;;;;15150;,;;;;;Strengthening civil society;,4;20;76;20;80;5;95,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,2,,,C01,5,USD,,4000000,4153702,0,0,0,0,0
AU-5-INK572-SL,1,01/10/2014 00:00,en,Australian Aid,AU-5,Government,Bilateral Climate Change Mitigation,"Funding under this initiative will support: a multi-country Measurement, reporting and Verification (MRV) program; the South African bilateral climate change partnership; and the design and operationalization of the Green Climate Fund (GCF). The total value of this initiative is $2.0 million over 2 years, starting 2011-12.",2,01/07/2011,31/08/2014,01/07/2011,31/08/2014,,,,,,,,,,,,,SL,Sierra Leone,,,,,41010,Environmental policy and administrative management,,OECD Development Assistance Committee,,110,10,A02,,AUD,,0,0,285715,0,0,0,0
41122-Sierra Leone-3900/A0/05/001/042,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR 10. WATSAN STRATEGIES AND PLANS,;IR 10. WATSAN STRATEGIES AND PLANS,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Netherlands Committee for UNICEF,,Public Private Partnership,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,12261;14030;14020,Health education;Basic drinking water supply and basic sanitation;Water supply and sanitation - large systems,2;1;97,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,536196,0,591746,0,0,0,0
41122-Sierra Leone-3900/A0/05/005/029,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,MANAGEMENT OF DONOR RESOURCES,;MANAGEMENT OF DONOR RESOURCES,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,"
    ",,,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,,,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,0,0,0,0,0,0,0
41122-Sierra Leone-3900/A0/06/002/004,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,2.4  CHILD FRIENDLY SCHOOLING,;2.4  CHILD FRIENDLY SCHOOLING,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,BASIC EDUCATION AND GENDER EQUALITY,,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,11320;11240;11220,Secondary education;Early childhood education;Primary education,3;-2;99,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,3438057,218572,2115642,0,0,0,0
41122-Sierra Leone-3900/A0/06/003/006,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,3.6 BIRTH REGISTRATION,;3.6 BIRTH REGISTRATION,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,UNICEF (FOR GR ALLOCATIONS ONLY),,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,13010,Population policy and administrative management,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,86743,102,68687,0,0,0,0
41122-Sierra Leone-3900/A0/05/001/036,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,IR.15. CSD POLICIES AND STRATEGIES,;IR.15. CSD POLICIES AND STRATEGIES,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Canada/GID,,Government,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,12110;12220;12240;12230,Health policy and administrative management;Basic health care;Basic nutrition;Basic health infrastructure,72;14;-18;32,OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee;OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,136442,0,160813,0,0,0,0
41122-Sierra Leone-3900/A0/06/005/003,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,5.2 ETHICAL REPORTING ON WOMEN AND CHILD,;5.2 ETHICAL REPORTING ON WOMEN AND CHILD,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,UNICEF (FOR GR ALLOCATIONS ONLY),,Multilateral,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,16010,Social/ welfare services,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,84135,20255,56662,0,0,0,0
41122-Sierra Leone-3900/A0/06/006/002,1,28/07/2014 00:00,en,UNICEF,41122,Multilateral,6.2 FINANCIAL RESOURCES,;6.2 FINANCIAL RESOURCES,2,19/09/2014,19/09/2014,19/09/2014,19/09/2014,,,,Netherlands,,Government,,,,,,,SL,Sierra Leone,100,998,"Bilateral, unspecified",100,43010,Multisector aid,100,OECD Development Assistance Committee,4,110,10,B03,5,USD,USD,2697957,295250,2028573,0,0,0,0
