Date,IDPs,Refugees,Total
#period_date,#idp_num,#refugee_num,#aff_num
Septembre 2012,118795,110963,229758
Octobre 2012,198558,111719,310277
Novembre 2012,203843,116771,320614
Decembre  2012,228918,122328,351246
Janvier 2013,228918,139152,368070
Fevrier 2013,260665,156824,417489
Mars  2013,282548,167957,450505
Avril  2013,300783,167676,468459
Mai    2013,301027,169147,470174
Juin   2013,353455,168913,522368
Juillet 2013,342033,168911,510944
Aout 2013,333622,163326,496948
Septembre 2013,311300,163556,474856
Octobre 2013,283726,161422,445148
Novembre 2013,254822,160078,414900
Decembre  2013,217811,160272,378083
Janvier 2014,217811,160272,378083
fevrier 2014,199575,160272,359847
Mars  2014,186884,142969,329853
Avril  2014,137096,141274,278370
Mai 2014,151150,137202,288352
