#sector,#org,,,#period_date,,,#activity_id,#activity,,,,#country,#adm1,#adm2,,,,,
Cluster,Organization,ProjectCode,FundingStatus,MONTH,Objective,Priority,ActivityId,Activity,IndicatorId,Indicator,Accumulative,Country,Admin1,Admin2,AnnualTarget,Achieved,ReportDetailId,ProjectId,IsApproved
Education,United Nations Children's Fund,MLI-14/E/65276,,June,OBJECTIVE 3,Priority 2: Conflict,244,Distribution of educational materials for teachers,663,Number of teachers (men/women) receiving teaching material,NO,Mali,Sikasso,,,319,177,65276,Yes
Education,United Nations Children's Fund,MLI-14/E/65276,,June,OBJECTIVE 3,Priority 2: Conflict,347,Train teachers/other educational personnel in life skills and psycho-social support,582,Number of male/ female teachers/other educational personnel trained,NO,Mali,Gao,,,45,178,65276,Yes
Education,United Nations Children's Fund,MLI-14/E/65276,,June,OBJECTIVE 3,Priority 2: Conflict,348,Train teachers/other educational personnel/staff in peace education,583,Number of male/ female teachers/other educational personnel trained,NO,Mali,Gao,,,162,179,65276,Yes
Food Security,World Food Programme,SEN-14/F/65761,,January,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",856,"number of of women, men receiving assistance",NO,Senegal,Saint-Louis,,13987,4044,1,65761,Yes
Food Security,World Food Programme,SEN-14/F/65761,,January,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",988,quantity of food distributed,NO,Senegal,Saint-Louis,,221,24.06,2,65761,Yes
Food Security,World Food Programme,SEN-14/F/65761,,February,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",856,"number of of women, men receiving assistance",NO,Senegal,Louga,,5510,5510,9,65761,Yes
Food Security,World Food Programme,SEN-14/F/65761,,February,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",856,"number of of women, men receiving assistance",NO,Senegal,Saint-Louis,,13987,9593,3,65761,Yes
Food Security,World Food Programme,SEN-14/F/65761,,February,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",988,quantity of food distributed,NO,Senegal,Louga,,25,25.02,10,65761,Yes
Food Security,World Food Programme,SEN-14/F/65761,,February,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",988,quantity of food distributed,NO,Senegal,Saint-Louis,,221,56.62,4,65761,Yes
Food Security,World Food Programme,SEN-14/F/65761,,March,OBJECTIVE 3,Priority 4: Food insecurity,393,"Food assistance for assets (Cash for assets, Food for assets)",856,"number of of women, men receiving assistance",NO,Senegal,Saint-Louis,,13987,1670,5,65761,Yes
