Country,Status,Verified,Date,Center ID,Center,Type,Activity,Org,Capacity (N),Equipment (R.A.G),Staff (N),Doctors,Nurses,Isolation Facility,PPE,Burial Site,Water,Power,Comm.,Date open,Date closed,Region,Adm1 ID,Prefecture,Adm2 ID,Sous Prefecture,Place,Lat,Long,Address,Clinic Website,Location in OSM,Notes,Source of info
#country,#status,#x_verified,#report_date,#loc_id,#loc,#loctype,#activity,#org,#x_capacity,#x_equipment,#x_staff,#x_doctors,#x_nurses,#x_isolation,#x_ppe,#x_burial_sites,#x_water,#x_power,#x_comm,#from_date,#to_date,#adm1,#adm1_id,#adm2,#adm2_id,#adm3,#x_placename,#lat_deg,#lon_deg,#address,#site_lnk,#x_loc_osm,#x_notes,#data_lnk
Guinea,,Y,01/01/2002,HM0096,Hopital Préfectoal Boffa,Hospital (1),,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Boffa Centre,Boffa,10.1787004,-14.0310001,CS Bolondè,,,,
Guinea,Open,Y,09/10/2014,MOH035,Centre de Santé Boffa Centre,CSU,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Boffa centre,Boffa centre,10.1812,-14.0377,Boffa centre,,,"Lat/long at center of Boffa village , Polliing list has Centre De Sante in Sector 1 BOB0F007",MOH. http://www.ceniguinee.org/doc/bv_pdf/Liste_bv_boke.pdf
Guinea,,Y,01/01/2002,HM0097,Bolonde,3,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Boffa Centre,Bolonde,10.1829004,-14.0414,,,,,
Guinea,,N,01/01/2002,HM0933,,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Boffa Centre,Dembaya,10.0275002,-13.8823996,,,,"There are several locations in Guinea with the name Dembaya according to OSM, non of which match the coordinates listed here. (Laura M) These coordinates are not within the town of Boffa itself (some 45 min drive away) where apparently the hospital is situated.  The coordinates for Boffa centre are: 10.180246, -14.038618.","https://www.google.com.sl/maps/place/Boffa,+Guinea/@10.1796336,-14.0390573,1883m/data=!3m1!1e3!4m2!3m1!1s0xf1d6451db991891:0xb3eb349a727164e0?hl=en"
Guinea,,Y,01/01/2002,HM0098,Lakhata,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Boffa Centre,Lakhata,10.234334, -14.221820,,,,,
Guinea,,N,01/01/2002,HM0099,Lonking,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Boffa Centre,Lonking,10.2918997,-14.0120001,,,,"This is geolocated to an unlisted village outside Boffa.  The address implies that the facility is located within a quarter of the town of Boffa, which is located at: https://www.google.com.sl/maps/place/Boffa,+Guinea/@10.1831174,-14.0381241,3584m/data=!3m2!1e3!4b1!4m2!3m1!1s0xf1d6451db991891:0xb3eb349a727164e0?hl=en","https://www.google.com.sl/maps/place/10%C2%B017%2730.8%22N+14%C2%B000%2743.2%22W/@10.303119,-14.0119008,1787m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en"
Guinea,,Y,01/01/2002,HM0101,Douprou,Health Center,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Douprou,Douprou Centre,10.2423,-14.3375998,,,,,
Guinea,,Y,01/01/2002,HM0100,Koumbaya,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Douprou,Koundinde,10.267259,-14.425758,,,,,
Guinea,,Y,01/01/2002,HM0102,Bilnsadé,4,,GOV,,,,,,,,,,,,,,Boké,,Boffa,,Douprou,Sobanet,10.2531004,-14.3971004,,,,geoloc to village level - cannot find name,
