"Country name","Admin level 1",Latitude,Longitude,"Sector (English)","Sector (Arabic)","Organisation URL","Organisation name"
#country,#adm1,#lat_deg,#lon_deg,#sector,,,#org
Chad,"Logone Oriental",8.25,16.42,"Camp Management",,,CNARR
Chad,"Logone Oriental",8.25,16.42,"Child Protection",,,"LWF Chad"
Chad,"Logone Oriental",8.25,16.42,"Community Services",,,"CARE International"
Chad,"Logone Oriental",8.25,16.42,"Core Relief Items (CRIs)",,,"LWF Chad"
Chad,"Logone Oriental",8.25,16.42,Education,,,ACRA
Chad,"Logone Oriental",8.25,16.42,Environment,,,"LWF Chad"
Chad,"Logone Oriental",8.25,16.42,"Food Security",,,"LWF Chad"
Chad,"Logone Oriental",8.25,16.42,"Gender-Based Violence",,,"CARE International"
Chad,"Logone Oriental",8.25,16.42,Health,,,"CSSI Chad"
Chad,"Logone Oriental",8.25,16.42,HIV/AIDS,,,"CSSI Chad"
Chad,"Logone Oriental",8.25,16.42,Livelihood,,,"LWF Chad"
Chad,"Logone Oriental",8.25,16.42,Nutrition,,,"CSSI Chad"
Chad,"Logone Oriental",8.25,16.42,Protection,,,APLFT
Chad,"Logone Oriental",8.25,16.42,Shelter,,,"ADES Chad"
Chad,"Logone Oriental",8.25,16.42,"Water & Sanitation",,,"CARE International"
Cameroon,Adamawa,6.5,13.5,"Camp Management",,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,Adamawa,6.5,13.5,"Child Protection",,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,Adamawa,6.5,13.5,"Community Services",,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,Adamawa,6.5,13.5,"Core Relief Items (CRIs)",,https://www.ifrc.org/,IFRC
Cameroon,Adamawa,6.5,13.5,"Core Relief Items (CRIs)",,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,Adamawa,6.5,13.5,Education,,http://plan-international.org/,"PLAN International"
Cameroon,Adamawa,6.5,13.5,Education,,http://www.unicef.org/,UNICEF
Cameroon,Adamawa,6.5,13.5,"Food Security",,https://www.ifrc.org/,IFRC
Cameroon,Adamawa,6.5,13.5,"Food Security",,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,Adamawa,6.5,13.5,"Food Security",,http://www.wfp.org/,WFP
Cameroon,Adamawa,6.5,13.5,Health,,http://internationalmedicalcorps.org,IMC
Cameroon,Adamawa,6.5,13.5,Health,,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
Cameroon,Adamawa,6.5,13.5,Nutrition,,http://internationalmedicalcorps.org,IMC
Cameroon,Adamawa,6.5,13.5,Protection,,http://www.unhcr.org/pages/4a03e1926.html,UNHCR
