"Year","Country.or.territory.of.asylum.or.residence","Country.or.territory.of.origin","Refugees","Refugees.assisted.by.UNHCR","Total.refugees.and.people.in.refugee.like.situations","Total.refugees.and.people.in.refugee.like.situations.assisted.by.UNHCR"
#period_date,#country,#origin,#inneed_num,#reached_num,,
"2012","AFG","IRN",37,37,37,37
"2012","AFG","IRQ",2,2,2,2
"2012","AFG","PAK",35,35,16147,NA
"2012","AFG","SYR",1,1,1,1
"2012","ALB","ALG",1,1,1,1
"2012","ALB","ARE",2,2,2,2
"2012","ALB","CHI",10,10,10,10
"2012","ALB","CZE",0,0,0,0
"2012","ALB","GAZ",4,4,4,4
"2012","ALB","IRQ",5,5,5,5
"2012","ALB","LBR",0,0,0,0
"2012","ALB","MNE",2,2,2,2
"2012","ALB","SRB",54,54,54,54
"2012","ALB","TUN",2,2,2,2
"2012","ALB","TUR",3,3,3,3
"2012","ALB","UZB",3,3,3,3
"2012","ALG","AFG",2,0,2,0
"2012","ALG","ANG",4,0,4,0
"2012","ALG","BDI",1,0,1,0
"2012","ALG","CAR",1,0,1,0
"2012","ALG","CHD",2,0,2,0
"2012","ALG","CMR",6,0,6,0
"2012","ALG","COB",7,0,7,0
"2012","ALG","COD",39,0,39,0
"2012","ALG","GAZ",4020,0,4020,0
"2012","ALG","GUI",4,0,4,0
"2012","ALG","ICO",23,0,23,0
"2012","ALG","IRQ",15,0,15,0
"2012","ALG","LBR",2,0,2,0
"2012","ALG","LBY",0,0,0,0
"2012","ALG","SOM",4,0,4,0
"2012","ALG","TOG",3,0,3,0
"2012","ALG","WSH",90000,90000,90000,NA
"2012","ANG","ALG",1,0,1,0
"2012","ANG","BDI",18,0,18,0
"2012","ANG","CAR",13,13,13,13
"2012","ANG","CHD",191,15,191,15
"2012","ANG","COB",65,0,65,0
"2012","ANG","COD",20740,4500,20740,NA
"2012","ANG","CUB",2,0,2,0
"2012","ANG","ERT",6,0,6,0
"2012","ANG","GNB",5,0,5,0
"2012","ANG","GUI",167,12,167,12
"2012","ANG","HAI",2,1,2,1
"2012","ANG","ICO",407,130,407,130
"2012","ANG","IRQ",2,0,2,0
"2012","ANG","LBR",160,20,160,20
"2012","ANG","MAU",235,55,235,55
"2012","ANG","RSA",2,0,2,0
"2012","ANG","RWA",452,150,452,150
"2012","ANG","SLE",413,65,413,65
"2012","ANG","SOM",215,30,215,30
"2012","ANG","SUD",281,79,281,79
"2012","ANG","TAN",6,0,6,0
"2012","ANG","UGA",2,0,2,0
"2012","ANG","WSH",27,8,27,8
"2012","ANG","ZAM",1,0,1,0
"2012","ARE","AFG",1,1,1,1
"2012","ARE","ALG",4,4,4,4
"2012","ARE","ANG",1,1,1,1
"2012","ARE","BDI",42,42,42,42
"2012","ARE","CAR",2,2,2,2
"2012","ARE","CHD",36,36,36,36
"2012","ARE","CHI",4,4,4,4
"2012","ARE","CMR",1,1,1,1
"2012","ARE","COB",5,5,5,5
"2012","ARE","COD",43,43,43,43
"2012","ARE","DJB",4,4,4,4
"2012","ARE","ERT",1182,1182,1182,NA
"2012","ARE","ETH",863,863,863,863
"2012","ARE","GAZ",70028,28,70028,28
"2012","ARE","GUI",7,7,7,7
"2012","ARE","ICO",305,305,305,305
"2012","ARE","IRN",1,1,1,1
"2012","ARE","IRQ",5703,5703,5703,NA
"2012","ARE","JOR",1,1,1,1
"2012","ARE","KEN",5,5,5,5
"2012","ARE","LBR",5,5,5,5
"2012","ARE","LBY",5,5,5,5
"2012","ARE","LKA",2,2,2,2
"2012","ARE","MLI",6,6,6,6
"2012","ARE","MOR",1,1,1,1
"2012","ARE","MYA",1,1,1,1
"2012","ARE","NIG",1,1,1,1
"2012","ARE","PAK",1,1,1,1
"2012","ARE","RUS",11,11,11,11
"2012","ARE","RWA",15,15,15,15
"2012","ARE","SAU",2,2,2,2
"2012","ARE","SOM",6250,6250,6250,NA
"2012","ARE","SRB",8,8,8,8
"2012","ARE","SSD",178,178,178,178
"2012","ARE","SUD",12124,12124,12124,NA
"2012","ARE","SYR",12836,12836,12836,NA
"2012","ARE","TJK",9,9,9,9
"2012","ARE","TKM",4,4,4,4
"2012","ARE","TUN",1,1,1,1
"2012","ARE","UGA",15,15,15,15
"2012","ARE","UZB",3,3,3,3
"2012","ARE","YEM",207,207,207,207
"2012","ARE","ZIM",10,10,10,10
"2012","ARG","AFG",1,1,1,1
"2012","ARG","ALB",28,0,28,0
"2012","ARG","ALG",45,1,45,1
"2012","ARG","ANG",13,1,13,1
"2012","ARG","ARM",126,2,126,2
"2012","ARG","BDI",5,1,5,1
"2012","ARG","BEN",1,0,1,0
"2012","ARG","BGD",7,0,7,0
"2012","ARG","BLR",1,0,1,0
"2012","ARG","BOL",3,0,3,0
"2012","ARG","BSN",6,1,6,1
"2012","ARG","BUL",2,0,2,0
"2012","ARG","CAR",2,0,2,0
"2012","ARG","CHD",2,0,2,0
"2012","ARG","CHL",336,0,336,0
"2012","ARG","CMR",8,3,8,3
"2012","ARG","COB",9,1,9,1
"2012","ARG","COD",13,1,13,1
"2012","ARG","COL",497,26,497,26
"2012","ARG","COS",6,0,6,0
"2012","ARG","CUB",340,5,340,5
"2012","ARG","DOM",2,0,2,0
"2012","ARG","ECU",15,0,15,0
"2012","ARG","ERT",2,0,2,0
"2012","ARG","ETH",4,0,4,0
"2012","ARG","GAM",2,0,2,0
"2012","ARG","GEO",5,0,5,0
"2012","ARG","GHA",46,17,46,17
"2012","ARG","GNB",19,0,19,0
"2012","ARG","GRE",0,0,0,0
"2012","ARG","GUA",1,0,1,0
"2012","ARG","GUI",9,1,9,1
"2012","ARG","HAI",58,26,58,26
"2012","ARG","HRV",2,0,2,0
"2012","ARG","HUN",0,0,0,0
"2012","ARG","ICO",37,15,37,15
"2012","ARG","IND",33,0,33,0
"2012","ARG","IRN",22,0,22,0
"2012","ARG","IRQ",25,0,25,0
"2012","ARG","ITA",1,0,1,0
"2012","ARG","KAZ",22,0,22,0
"2012","ARG","KEN",1,1,1,1
"2012","ARG","KGZ",3,0,3,0
"2012","ARG","LAO",0,0,0,0
"2012","ARG","LBR",69,10,69,10
"2012","ARG","LKA",34,2,34,2
"2012","ARG","MAU",2,0,2,0
"2012","ARG","MEX",1,0,1,0
"2012","ARG","MLI",16,0,16,0
"2012","ARG","MOR",2,0,2,0
"2012","ARG","NIC",2,0,2,0
"2012","ARG","NIG",52,3,52,3
"2012","ARG","PAK",41,0,41,0
"2012","ARG","PAR",3,0,3,0
"2012","ARG","PER",582,24,582,24
"2012","ARG","ROM",53,0,53,0
"2012","ARG","RSA",3,0,3,0
"2012","ARG","RUS",60,17,60,17
"2012","ARG","RWA",1,0,1,0
"2012","ARG","SAL",10,0,10,0
"2012","ARG","SEN",67,11,67,11
"2012","ARG","SLE",53,7,53,7
"2012","ARG","SOM",5,0,5,0
"2012","ARG","SRB",17,0,17,0
"2012","ARG","SRV",0,0,0,0
"2012","ARG","STA",7,0,7,0
"2012","ARG","SUD",3,0,3,0
"2012","ARG","SYR",40,0,40,0
"2012","ARG","TKM",2,0,2,0
"2012","ARG","TOG",2,1,2,1
"2012","ARG","TUN",2,2,2,2
"2012","ARG","TUR",11,0,11,0
"2012","ARG","UKR",18,0,18,0
